home_team,away_team,match_date,league,avg_goal_diff_h2h,h2h_home_winrate,home_form_winrate,away_form_winrate,home_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_scored,away_avg_goals_conceded,h2h_draw_rate,h2h_total_goals,home_draw_rate,away_draw_rate,combined_draw_rate,form_differential,goals_differential,expected_total_goals,home_total_goals_avg,away_total_goals_avg,league_avg_goals,league_draw_rate,league_home_adv,home_momentum,away_momentum,momentum_differential,is_low_scoring,is_defensive_match,home_true_prob,draw_true_prob,away_true_prob,market_draw_confidence,market_favorite_confidence,market_competitiveness,odds_spread,result
Man United,Leeds,2021-08-14 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Burnley,Brighton,2021-08-14 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,A
Chelsea,Crystal Palace,2021-08-14 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Everton,Southampton,2021-08-14 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Leicester,Wolves,2021-08-14 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Mallorca,Betis,2021-08-14 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,1.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,D
Tottenham,Man City,2021-08-15 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,3.375,0.0,0.5,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
FC Koln,Hertha,2021-08-15 00:00:00+00:00,BL1,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,3.142857142857143,0.42857142857142855,0.2857142857142857,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Mainz,RB Leipzig,2021-08-15 00:00:00+00:00,BL1,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,3.142857142857143,0.42857142857142855,0.2857142857142857,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Newcastle,West Ham,2021-08-15 00:00:00+00:00,PL,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,3.375,0.0,0.5,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,A
Barcelona,Sociedad,2021-08-15 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.0,0.6,0.0,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Sevilla,Vallecano,2021-08-15 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.0,0.6,0.0,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
Celta,Ath Madrid,2021-08-15 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.0,0.6,0.0,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,A
Elche,Ath Bilbao,2021-08-16 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.75,0.375,0.125,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,D
Villarreal,Granada,2021-08-16 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.25,0.25,0.25,0.0,0.0,2.0,2.5,2.5,2.75,0.375,0.125,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,D
Betis,Cadiz,2021-08-20 00:00:00+00:00,PD,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,1.0,1.0,1.0,0.0,0.0,2.0,2.5,2.5,2.2,0.5,0.09999999999999998,0.5,0.5,0.0,0.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,D
RB Leipzig,Stuttgart,2021-08-20 00:00:00+00:00,BL1,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,2.5,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.5,3.0,0.3333333333333333,0.4444444444444445,0.5,0.5,0.0,1.0,1.0,0.3,0.39999999999999997,0.3,0.39999999999999997,0.3,1.0,1.0,H
