window,match_date,home_team,away_team,league,predicted,actual,correct,confidence,decimal_odds,profit
1,2022-05-07 00:00:00+00:00,Chelsea,Wolves,PL,home_win,draw,False,0.602,1.33,-1.0
1,2022-05-07 00:00:00+00:00,Ath Bilbao,Valencia,PD,home_win,draw,False,0.557,1.55,-1.0
1,2022-05-07 00:00:00+00:00,Lazio,Sampdoria,SA,home_win,home_win,True,0.61,1.44,0.44
1,2022-05-07 00:00:00+00:00,Cadiz,Elche,PD,home_win,home_win,True,0.559,1.7,0.7
1,2022-05-07 00:00:00+00:00,Greuther Furth,Dortmund,BL1,away_win,away_win,True,0.615,1.3,0.3
1,2022-05-08 00:00:00+00:00,Bayern Munich,Stuttgart,BL1,home_win,draw,False,0.65,1.25,-1.0
1,2022-05-08 00:00:00+00:00,Man City,Newcastle,PL,home_win,home_win,True,0.732,1.16,0.16
1,2022-05-08 00:00:00+00:00,Leipzig,Augsburg,BL1,home_win,home_win,True,0.657,1.25,0.25
1,2022-05-08 00:00:00+00:00,Arsenal,Leeds,PL,home_win,home_win,True,0.587,1.45,0.45
1,2022-05-08 00:00:00+00:00,Spezia,Atalanta,SA,away_win,away_win,True,0.638,1.45,0.45
1,2022-05-10 00:00:00+00:00,Aston Villa,Liverpool,PL,away_win,away_win,True,0.644,1.4,0.4
1,2022-05-10 00:00:00+00:00,Barcelona,Celta,PD,home_win,home_win,True,0.665,1.44,0.44
1,2022-05-11 00:00:00+00:00,Sevilla,Mallorca,PD,home_win,draw,False,0.585,1.61,-1.0
1,2022-05-11 00:00:00+00:00,Leeds,Chelsea,PL,away_win,away_win,True,0.618,1.65,0.65
1,2022-05-11 00:00:00+00:00,Wolves,Man City,PL,away_win,away_win,True,0.67,1.25,0.25
1,2022-05-11 00:00:00+00:00,Leicester,Norwich,PL,home_win,home_win,True,0.601,1.44,0.44
1,2022-05-12 00:00:00+00:00,Real Madrid,Levante,PD,home_win,home_win,True,0.606,1.45,0.45
1,2022-05-14 00:00:00+00:00,Bielefeld,Leipzig,BL1,away_win,draw,False,0.666,1.25,-1.0
1,2022-05-14 00:00:00+00:00,Wolfsburg,Bayern Munich,BL1,away_win,draw,False,0.604,1.55,-1.0
1,2022-05-14 00:00:00+00:00,Roma,Venezia,SA,home_win,draw,False,0.674,1.25,-1.0
1,2022-05-14 00:00:00+00:00,Union Berlin,Bochum,BL1,home_win,home_win,True,0.644,1.4,0.4
1,2022-05-14 00:00:00+00:00,Dortmund,Hertha,BL1,home_win,home_win,True,0.683,1.5,0.5
1,2022-05-15 00:00:00+00:00,Betis,Granada,PD,home_win,home_win,True,0.588,1.5,0.5
1,2022-05-15 00:00:00+00:00,Ath Bilbao,Osasuna,PD,home_win,home_win,True,0.642,1.53,0.53
1,2022-05-15 00:00:00+00:00,Celta,Elche,PD,home_win,home_win,True,0.599,1.65,0.65
1,2022-05-15 00:00:00+00:00,Cagliari,Inter,SA,away_win,away_win,True,0.654,1.4,0.4
1,2022-05-15 00:00:00+00:00,West Ham,Man City,PL,away_win,draw,False,0.608,1.4,-1.0
1,2022-05-15 00:00:00+00:00,Tottenham,Burnley,PL,home_win,home_win,True,0.67,1.33,0.33
1,2022-05-15 00:00:00+00:00,Wolves,Norwich,PL,home_win,draw,False,0.628,1.45,-1.0
1,2022-05-17 00:00:00+00:00,Southampton,Liverpool,PL,away_win,away_win,True,0.644,1.33,0.33
1,2022-05-19 00:00:00+00:00,Chelsea,Leicester,PL,home_win,draw,False,0.573,1.4,-1.0
1,2022-05-21 00:00:00+00:00,Atalanta,Empoli,SA,home_win,away_win,False,0.578,1.22,-1.0
