window,start_date,end_date,train_size,test_size,accuracy,draw_recall,draw_precision,n_confident_bets,hit_rate,total_profit,roi_pct
1,2022-04-03,2023-02-18,1141,1141,0.49,0.218,0.26,338,0.669,-21.36,-6.3
2,2023-02-18,2023-12-03,2282,1141,0.518,0.293,0.317,232,0.759,5.42,2.3
3,2023-12-03,2024-09-28,3423,1141,0.516,0.352,0.336,311,0.736,6.11,2.0
4,2024-09-28,2025-05-12,4564,1141,0.527,0.33,0.35,357,0.686,-8.48,-2.4
5,2025-05-13,2026-03-08,5705,1141,0.495,0.33,0.287,304,0.734,16.26,5.3
